channel,energy_keV,counts,count_rate_cps
544,1397.673315,19,0.0002406434045
545,1400.427814,23,0.0002913051738
546,1403.183049,16,0.0002026470774
547,1405.939020,14,0.0001773161928
548,1408.695727,15,0.0001899816351
549,1411.453170,12,0.0001519853081
550,1414.211349,8,0.0001013235387
551,1416.970264,15,0.0001899816351
552,1419.729915,16,0.0002026470774
553,1422.490302,13,0.0001646507504
554,1425.251425,9,0.0001139889811
555,1428.013285,11,0.0001393198657
556,1430.775880,8,0.0001013235387
557,1433.539211,16,0.0002026470774
558,1436.303278,9,0.0001139889811
559,1439.068082,6,7.599265404e-05
560,1441.833621,9,0.0001139889811
561,1444.599896,13,0.0001646507504
562,1447.366908,10,0.0001266544234
563,1450.134655,8,0.0001013235387
564,1452.903139,6,7.599265404e-05
565,1455.672358,16,0.0002026470774
566,1458.442314,16,0.0002026470774
567,1461.213005,10,0.0001266544234
568,1463.984433,11,0.0001393198657
569,1466.756597,11,0.0001393198657
570,1469.529496,8,0.0001013235387
571,1472.303132,12,0.0001519853081
572,1475.077504,9,0.0001139889811
573,1477.852612,12,0.0001519853081
574,1480.628455,10,0.0001266544234
575,1483.405035,9,0.0001139889811
576,1486.182351,10,0.0001266544234
577,1488.960403,11,0.0001393198657
578,1491.739191,7,8.865809638e-05
579,1494.518715,5,6.33272117e-05
580,1497.298975,11,0.0001393198657
581,1500.079971,8,0.0001013235387
582,1502.861703,6,7.599265404e-05
583,1505.644171,6,7.599265404e-05
584,1508.427375,5,6.33272117e-05
585,1511.211315,7,8.865809638e-05
586,1513.995992,10,0.0001266544234
587,1516.781404,13,0.0001646507504
588,1519.567552,8,0.0001013235387
589,1522.354436,6,7.599265404e-05
590,1525.142057,10,0.0001266544234
591,1527.930413,9,0.0001139889811
592,1530.719505,6,7.599265404e-05
593,1533.509334,8,0.0001013235387
594,1536.299898,7,8.865809638e-05
595,1539.091199,7,8.865809638e-05
596,1541.883235,6,7.599265404e-05
597,1544.676008,5,6.33272117e-05
598,1547.469516,10,0.0001266544234
599,1550.263761,6,7.599265404e-05
600,1553.058742,5,6.33272117e-05
601,1555.854458,6,7.599265404e-05
602,1558.650911,6,7.599265404e-05
603,1561.448100,6,7.599265404e-05
604,1564.246024,8,0.0001013235387
605,1567.044685,1,1.266544234e-05
606,1569.844082,10,0.0001266544234
607,1572.644215,4,5.066176936e-05
608,1575.445084,5,6.33272117e-05
609,1578.246689,9,0.0001139889811
610,1581.049030,7,8.865809638e-05
611,1583.852107,6,7.599265404e-05
612,1586.655920,2,2.533088468e-05
613,1589.460469,4,5.066176936e-05
614,1592.265754,5,6.33272117e-05
615,1595.071775,1,1.266544234e-05
616,1597.878532,4,5.066176936e-05
617,1600.686025,8,0.0001013235387
618,1603.494255,6,7.599265404e-05
619,1606.303220,7,8.865809638e-05
620,1609.112921,9,0.0001139889811
621,1611.923358,6,7.599265404e-05
622,1614.734532,4,5.066176936e-05
623,1617.546441,8,0.0001013235387
624,1620.359086,8,0.0001013235387
625,1623.172468,8,0.0001013235387
626,1625.986585,6,7.599265404e-05
627,1628.801439,4,5.066176936e-05
628,1631.617028,2,2.533088468e-05
629,1634.433354,6,7.599265404e-05
630,1637.250416,6,7.599265404e-05
631,1640.068213,4,5.066176936e-05
632,1642.886747,1,1.266544234e-05
633,1645.706016,8,0.0001013235387
634,1648.526022,3,3.799632702e-05
635,1651.346764,7,8.865809638e-05
636,1654.168242,9,0.0001139889811
637,1656.990456,8,0.0001013235387
638,1659.813405,8,0.0001013235387
639,1662.637091,5,6.33272117e-05
640,1665.461513,5,6.33272117e-05
641,1668.286671,3,3.799632702e-05
642,1671.112565,7,8.865809638e-05
643,1673.939195,4,5.066176936e-05
644,1676.766561,8,0.0001013235387
645,1679.594663,7,8.865809638e-05
646,1682.423501,8,0.0001013235387
647,1685.253075,5,6.33272117e-05
648,1688.083386,4,5.066176936e-05
649,1690.914432,5,6.33272117e-05
650,1693.746214,5,6.33272117e-05
651,1696.578732,3,3.799632702e-05
652,1699.411987,6,7.599265404e-05
653,1702.245977,5,6.33272117e-05
654,1705.080703,7,8.865809638e-05
655,1707.916166,6,7.599265404e-05
656,1710.752364,4,5.066176936e-05
657,1713.589299,6,7.599265404e-05
658,1716.426969,5,6.33272117e-05
659,1719.265376,5,6.33272117e-05
660,1722.104518,4,5.066176936e-05
661,1724.944397,8,0.0001013235387
662,1727.785011,4,5.066176936e-05
663,1730.626362,4,5.066176936e-05
664,1733.468449,1,1.266544234e-05
665,1736.311271,6,7.599265404e-05
666,1739.154830,1,1.266544234e-05
667,1741.999125,7,8.865809638e-05
668,1744.844156,5,6.33272117e-05
669,1747.689923,3,3.799632702e-05
670,1750.536425,2,2.533088468e-05
671,1753.383664,2,2.533088468e-05
672,1756.231639,3,3.799632702e-05
673,1759.080350,4,5.066176936e-05
674,1761.929797,6,7.599265404e-05
675,1764.779980,2,2.533088468e-05
676,1767.630899,5,6.33272117e-05
