mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p90_err_r_cm,p95_err_r_cm,rmse_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,feature_group,n_features,k,metric,normalization,weighting,training_events,training_positions,test_events
2.71477942647271,1.9686346139103685,3.089654659075518,5.923979442339048,7.070656786412762,3.4865052473698412,0.12337154667299763,2.42300368595604,0.27972554771671376,2.490658423680893,face,16,24,euclidean,l1,inverse2,2560,256,1000
2.774759233358492,2.0454061105921357,3.117799081328047,6.124361168418205,7.1728534192900515,3.539878129068053,0.1421593585239557,2.463627580705437,0.2994513868983933,2.5226631138447453,face,16,24,euclidean,l1,inverse,2560,256,1000
2.6966047672876865,2.01149845270138,3.1581449702851137,5.655235931549886,6.938739132788262,3.3868233382517774,-0.013657642065344625,2.383962349469831,0.12177921041370214,2.4049420276175724,face,16,32,euclidean,sqrt_l1,inverse,2560,256,1000
2.7318424194945834,2.070146224248081,3.1814724863649624,5.728071439160068,7.028854924808521,3.420104094176972,-0.006662489250000057,2.4098357631843346,0.13178910000000002,2.42571272917715,face,16,32,euclidean,sqrt_l1,uniform,2560,256,1000
2.841864080342792,2.1485477578737164,3.197816588653824,6.2979396460848305,7.4580135902841524,3.602224658250228,0.15892995866666457,2.5091676696503757,0.3160338916666647,2.562777339475605,face,16,24,euclidean,l1,uniform,2560,256,1000
3.223659681747954,2.1994447275295164,3.2406423628270336,7.269574831428402,10.094484280246071,4.405081035335479,-0.008127333000000065,3.0093990259321854,0.16342972500000003,3.215723629759827,face,16,1,euclidean,l1,uniform,2560,256,1000
3.223659681747954,2.1994447275295164,3.2406423628270336,7.269574831428402,10.094484280246071,4.405081035335479,-0.008127333000000065,3.0093990259321854,0.16342972500000003,3.215723629759827,face,16,1,euclidean,l1,inverse,2560,256,1000
3.223659681747954,2.1994447275295164,3.2406423628270336,7.269574831428402,10.094484280246071,4.405081035335479,-0.008127333000000065,3.0093990259321854,0.16342972500000003,3.215723629759827,face,16,1,euclidean,l1,inverse2,2560,256,1000
2.8386260399033225,2.134318932965725,3.2468768616740515,6.175692950068595,7.097850390557699,3.5752187720213384,0.16227224594742007,2.4975410692301363,0.3185040525898467,2.5356198140169406,face,16,32,euclidean,l1,inverse,2560,256,1000
2.9308418625991144,2.25663709247333,3.3401434535373005,6.26644251551214,7.35325394084871,3.658833467148166,0.1826929794999999,2.558738058752366,0.3374531625,2.5895798094321263,face,16,32,euclidean,l1,uniform,2560,256,1000
3.4628467947156634,2.3823949213821214,3.47800880998769,7.72140867519116,10.570731307031739,4.6833836115432925,-0.005002333000000075,3.243921875851387,-0.058445274999999984,3.3807639131582357,face,16,1,euclidean,sqrt_l1,uniform,2560,256,1000
3.4628467947156634,2.3823949213821214,3.47800880998769,7.72140867519116,10.570731307031739,4.6833836115432925,-0.005002333000000075,3.243921875851387,-0.058445274999999984,3.3807639131582357,face,16,1,euclidean,sqrt_l1,inverse,2560,256,1000
3.4628467947156634,2.3823949213821214,3.47800880998769,7.72140867519116,10.570731307031739,4.6833836115432925,-0.005002333000000075,3.243921875851387,-0.058445274999999984,3.3807639131582357,face,16,1,euclidean,sqrt_l1,inverse2,2560,256,1000
3.9706766900777333,3.3413300004758577,4.610376907379598,7.422612613898946,9.168030121444469,4.809429115857411,0.35214559339662627,3.3773111079890112,0.6483028263119186,3.347041072502624,fiber,16,16,euclidean,l1,inverse2,2560,256,1000
4.001114410716714,3.3315262691062815,4.612115440088754,7.375380730726006,9.223009339245438,4.846260181262882,0.3441799761269879,3.4237511950809694,0.6291964162957193,3.3575009154239286,fiber,16,12,euclidean,l1,inverse2,2560,256,1000
4.000502158200973,3.3040943616149825,4.618685429369618,7.436888488791084,9.36683255881687,4.8478729285065185,0.34193680666083015,3.4170780613153573,0.6322975099247479,3.3662645012218673,fiber,16,12,euclidean,l1,inverse,2560,256,1000
3.9909182434606083,3.382360437174626,4.640250300657721,7.409393426501666,8.997699003945108,4.821111216239588,0.3174536079205891,3.3782513105258336,0.6582733398296139,3.3643963208412555,fiber,16,24,euclidean,l1,inverse,2560,256,1000
