reference,k,metric,normalization,weighting,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
events,3,euclidean,none,inverse,1000,0.03982127393420281,2.400376170335667,0.06323917182136289,2.433819554454986,2.608253412084727,3.444778302009549,6.120701705159223
events,3,euclidean,none,inverse2,1000,0.034238550944077926,2.3951761980654225,0.06529892179773933,2.4285742929296004,2.6004861922094378,3.4468046466055,6.128914773554877
events,12,euclidean,sqrt_l1,inverse,1000,0.006414118578469157,2.379127564669577,0.08705395336565405,2.49343329509036,2.55820187363174,3.452294904132553,6.373753620491376
templates,5,cosine,sqrt_l1,uniform,1000,-0.01494923379999998,2.369778491326227,0.05767399520000005,2.556953744069054,2.6156541039239,3.453239427577849,6.47925551987198
templates,5,cosine,sqrt,uniform,1000,-0.01494923379999998,2.369778491326227,0.05767399520000005,2.556953744069054,2.6156541039239,3.453239427577849,6.47925551987198
events,12,euclidean,sqrt_l1,inverse2,1000,0.006251828518992653,2.373529650392473,0.08873949556337876,2.491860822237693,2.5583905515672583,3.461948284335869,6.400628945209531
templates,12,cosine,none,inverse,1000,0.03676716573241198,2.520147157453933,0.02603244107435114,2.613233296937677,2.5824913581337112,3.4628263367750107,6.981818037726143
templates,12,cosine,l1,inverse,1000,0.03676716573241193,2.5201471574539327,0.026032441074351226,2.6132332969376764,2.5824913581337157,3.462826336775025,6.98181803772615
events,48,cosine,none,inverse2,1000,0.026370435496448835,2.5001521909475217,0.06808137776042124,2.540667650845201,2.633255057542142,3.4679842586970495,6.87207711246565
events,48,cosine,l1,inverse2,1000,0.02637043549644798,2.5001521909475217,0.0680813777604213,2.5406676508452,2.6332550575421387,3.46798425869706,6.872077112465664
events,64,cosine,none,inverse2,1000,0.0329315549495702,2.548380150003666,0.06567382523226066,2.59519496872529,2.6208508923098712,3.4710146039564744,7.048280222451436
events,64,cosine,l1,inverse2,1000,0.032931554949569515,2.548380150003666,0.06567382523226084,2.5951949687252895,2.620850892309865,3.4710146039564753,7.048280222451437
events,12,euclidean,sqrt_l1,uniform,1000,0.006868946333333526,2.385101413220919,0.0855527825833332,2.49596343896051,2.565089030766312,3.4738174328109928,6.348710396660021
events,24,cosine,l1,uniform,1000,0.039949754624999854,2.534779634426869,0.08100732900000014,2.5392823644542073,2.634549898624323,3.475583876783345,6.894364727088599
events,24,cosine,none,uniform,1000,0.039949754624999854,2.534779634426869,0.08100732900000014,2.5392823644542073,2.634549898624323,3.475583876783345,6.894364727088599
templates,5,cosine,l1,uniform,1000,0.010505311799999945,2.463191149680617,0.09464369240000005,2.5528150478771083,2.63788568998224,3.478962411724793,6.722297514897059
templates,5,cosine,none,uniform,1000,0.010505311799999945,2.463191149680617,0.09464369240000005,2.5528150478771083,2.63788568998224,3.478962411724793,6.722297514897059
events,3,cosine,none,inverse,1000,0.08824526510822986,2.506818128521335,0.12045844017240932,2.635998790551941,2.5368320064951355,3.480322745570338,7.0119365064780075
events,3,cosine,l1,inverse,1000,0.08824526510822915,2.506818128521335,0.12045844017240864,2.635998790551942,2.536832006495132,3.4803227455703403,7.011936506478062
events,32,euclidean,sqrt_l1,inverse2,1000,0.02196284202681278,2.3714894871561225,0.1143297576669335,2.4939202198054127,2.5155321363303633,3.4816595926290232,6.38462386694185
events,24,euclidean,sqrt_l1,inverse2,1000,0.020044037365457585,2.364550281402745,0.11175449895730767,2.4866165864949736,2.5390808277011505,3.4852134477766947,6.297349379191292
templates,8,euclidean,l1,uniform,1000,0.034141674624999924,2.450533263992627,0.018507330374999954,2.5731201739728826,2.567318298697575,3.4871575868764673,6.748945609716247
events,3,cosine,none,uniform,1000,0.08767702666666664,2.526654309242994,0.120906318,2.656573716239342,2.5400963638651106,3.487881828182169,7.092937934398425
events,3,cosine,l1,uniform,1000,0.08767702666666664,2.526654309242994,0.120906318,2.656573716239342,2.5400963638651106,3.487881828182169,7.092937934398425
events,32,cosine,none,inverse,1000,0.027559443088040696,2.5059570965689395,0.0643861194789244,2.5419657134558737,2.6080481991504194,3.4905212415227247,7.160882010198808
events,32,cosine,l1,inverse,1000,0.027559443088040623,2.505957096568939,0.06438611947892442,2.5419657134558733,2.6080481991504216,3.490521241522725,7.160882010198821
events,64,euclidean,none,inverse2,1000,0.04316757599889781,2.404183141628594,0.020951977225768845,2.50803748237132,2.5813523808179024,3.4909834296541673,6.342251793914248
events,3,cosine,none,inverse2,1000,0.08908995446742557,2.4997390695701394,0.1204894949700755,2.625834466309232,2.5116490542179077,3.49524820914398,7.024358980983801
events,3,cosine,l1,inverse2,1000,0.08908995446742424,2.4997390695701394,0.1204894949700744,2.625834466309233,2.511649054217929,3.495248209143989,7.024358980983757
